                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2495,                 1.2645,                 1.4238,                0.89677,                 0.8523,                0.93876,                0.62363,                 1.2178,                 0.6944,                 1.3914,               0.067009,             0.00033324,             0.00033324
                      1,                  1.031,                0.57239,                 1.2336,                0.87163,                0.85463,                0.92817,                0.60816,                 1.2256,                0.71733,                 1.4177,               0.033976,             0.00063328,             0.00063328
                      2,                0.97253,                0.50296,                 1.1548,                0.90289,                0.83429,                0.93068,                0.62974,                 1.2226,                 0.7286,                 1.3642,             0.00090928,             0.00090002,             0.00090002
                      3,                 0.9526,                0.47886,                 1.1406,                0.93036,                 0.8559,                0.93753,                0.60459,                 1.3168,                0.71207,                 1.4611,             0.00085015,             0.00085015,             0.00085015
                      4,                0.91644,                0.44434,                 1.1259,                0.92494,                0.83039,                0.93212,                0.62178,                 1.2805,                0.76522,                 1.4481,             0.00085015,             0.00085015,             0.00085015
                      5,                 0.8927,                0.41967,                 1.1014,                0.91564,                0.85399,                0.93108,                0.62464,                 1.2842,                0.74182,                  1.383,              0.0008002,              0.0008002,              0.0008002
                      6,                0.86517,                 0.3989,                 1.0594,                0.90043,                0.81248,                0.91295,                0.62167,                  1.273,                0.87499,                 1.3993,             0.00075025,             0.00075025,             0.00075025
                      7,                0.84604,                0.38444,                 1.0562,                0.92474,                0.85887,                0.94306,                0.63585,                 1.2575,                0.71952,                 1.3883,              0.0007003,              0.0007003,              0.0007003
                      8,                0.82559,                0.36824,                 1.0488,                 0.8603,                0.83652,                0.90786,                0.61857,                 1.2612,                0.88096,                 1.3641,             0.00065035,             0.00065035,             0.00065035
                      9,                0.80861,                0.35413,                 1.0449,                0.86008,                0.82772,                0.90682,                0.60034,                 1.3154,                0.87755,                  1.458,              0.0006004,              0.0006004,              0.0006004
                     10,                0.79244,                0.34657,                 1.0357,                0.90674,                0.82615,                 0.9149,                0.62221,                 1.2735,                0.90314,                 1.3973,             0.00055045,             0.00055045,             0.00055045
                     11,                0.77657,                0.33323,                 1.0216,                0.92963,                0.85654,                0.93783,                0.64767,                 1.2499,                0.75431,                 1.3698,              0.0005005,              0.0005005,              0.0005005
                     12,                0.75961,                0.32508,                  1.012,                0.91336,                0.81967,                0.91834,                0.63348,                 1.2624,                0.90749,                 1.3879,             0.00045055,             0.00045055,             0.00045055
                     13,                0.75056,                  0.316,                 1.0091,                0.91115,                0.80189,                0.90258,                0.62179,                 1.2664,                 1.0416,                    1.4,              0.0004006,              0.0004006,              0.0004006
                     14,                0.73634,                0.31051,                0.99778,                0.89245,                0.80185,                0.89689,                0.61184,                 1.2824,                 1.0494,                 1.4051,             0.00035065,             0.00035065,             0.00035065
                     15,                0.72253,                0.30252,                0.98966,                0.89023,                0.80775,                0.89752,                0.61474,                 1.2921,                 1.0689,                 1.4129,              0.0003007,              0.0003007,              0.0003007
                     16,                0.70829,                0.29261,                0.98539,                0.90418,                0.80786,                0.90714,                0.62743,                 1.2694,                 1.0484,                 1.4047,             0.00025075,             0.00025075,             0.00025075
                     17,                0.70213,                0.28937,                0.98917,                0.89447,                0.81367,                0.90637,                0.62816,                 1.2624,                   1.05,                 1.4148,              0.0002008,              0.0002008,              0.0002008
                     18,                0.68639,                0.27926,                 0.9837,                0.89636,                 0.8203,                0.90762,                0.62699,                  1.278,                 1.0243,                 1.4353,             0.00015085,             0.00015085,             0.00015085
                     19,                0.68207,                0.27629,                0.98524,                0.89333,                0.81457,                0.90441,                0.62438,                 1.2976,                 1.0564,                 1.4569,              0.0001009,              0.0001009,              0.0001009
