                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4144,                 2.0537,                 1.5793,                0.79069,                0.62174,                 0.7358,                0.45988,                  1.269,                  1.339,                 1.4664,               0.066719,             3.3315e-05,             3.3315e-05
                      1,                 1.1881,                  0.953,                 1.3794,                0.88942,                0.78046,                0.89549,                0.58283,                 1.2135,                0.82757,                  1.409,               0.033415,             6.3349e-05,             6.3349e-05
                      2,                 1.0952,                0.69093,                 1.3006,                0.91876,                0.84382,                0.93926,                0.62692,                 1.1926,                0.67974,                 1.3986,             0.00010861,             9.0083e-05,             9.0083e-05
                      3,                 1.0372,                0.58152,                 1.2511,                0.90802,                0.86396,                0.94501,                0.62666,                 1.1973,                0.66124,                 1.3974,              8.515e-05,              8.515e-05,              8.515e-05
                      4,                 0.9884,                0.52183,                 1.2086,                0.92987,                0.86255,                0.95053,                0.64058,                 1.1837,                0.63407,                 1.3742,              8.515e-05,              8.515e-05,              8.515e-05
                      5,                0.96077,                0.48854,                 1.1743,                0.93045,                0.88769,                0.96192,                0.64754,                 1.2021,                0.58206,                 1.3857,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                0.93637,                0.45769,                  1.152,                0.92473,                0.88493,                 0.9611,                0.64349,                 1.2115,                0.59605,                 1.3872,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                0.92326,                0.44764,                 1.1393,                0.92339,                0.88324,                0.95896,                0.63513,                 1.2334,                0.62252,                 1.4009,               7.03e-05,               7.03e-05,               7.03e-05
                      8,                0.90604,                0.43143,                 1.1172,                0.92346,                0.88515,                 0.9589,                0.63992,                 1.2398,                0.61084,                 1.4043,              6.535e-05,              6.535e-05,              6.535e-05
                      9,                0.89421,                0.41929,                 1.1113,                0.92097,                 0.8754,                0.95564,                0.63305,                 1.2424,                 0.6225,                 1.4077,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                0.88591,                0.41389,                 1.1133,                0.92611,                0.86585,                0.95208,                0.63121,                 1.2652,                0.66733,                 1.4535,              5.545e-05,              5.545e-05,              5.545e-05
                     11,                0.87572,                 0.4041,                  1.118,                0.93425,                0.87621,                0.95926,                 0.6341,                 1.2669,                0.61722,                 1.4549,               5.05e-05,               5.05e-05,               5.05e-05
                     12,                 0.8652,                0.39651,                  1.104,                0.94495,                0.87667,                0.96202,                0.63606,                 1.2752,                0.60469,                 1.4557,              4.555e-05,              4.555e-05,              4.555e-05
                     13,                0.86225,                0.39152,                 1.0996,                0.92858,                0.89214,                0.96404,                0.63494,                 1.2814,                0.59213,                 1.4493,               4.06e-05,               4.06e-05,               4.06e-05
                     14,                0.85372,                0.38745,                 1.0879,                0.92895,                0.88366,                0.96117,                  0.635,                 1.2768,                0.60046,                 1.4484,              3.565e-05,              3.565e-05,              3.565e-05
                     15,                0.85004,                0.38538,                 1.0839,                0.93672,                0.88705,                0.96272,                 0.6357,                 1.2731,                0.59656,                 1.4402,               3.07e-05,               3.07e-05,               3.07e-05
                     16,                0.84468,                0.37838,                 1.0863,                0.92585,                0.89087,                0.96185,                0.63764,                 1.2724,                0.59979,                  1.449,              2.575e-05,              2.575e-05,              2.575e-05
                     17,                 0.8416,                0.37827,                 1.0851,                0.94162,                0.87964,                0.96173,                0.63434,                 1.2768,                0.60363,                  1.465,               2.08e-05,               2.08e-05,               2.08e-05
                     18,                0.83446,                0.37231,                 1.0808,                0.93504,                0.88642,                0.96324,                0.63723,                 1.2733,                0.59827,                 1.4628,              1.585e-05,              1.585e-05,              1.585e-05
                     19,                0.83538,                0.37118,                 1.0824,                0.93185,                0.88472,                0.96222,                0.63631,                 1.2778,                0.60295,                 1.4648,               1.09e-05,               1.09e-05,               1.09e-05
